Name,Body Shape,Height,Shoe Size,Weight
Rihanna,Hourglass,173.0,9,57
Cardi B,Hourglass,168.0,7.5,62
Rihanna,Hourglass,173.0,9,57
Queen Latifah,Apple,178.0,7,91
Marie Osmond,Hourglass,165.0,6,54
Samantha Barks,Banana,170.0,8.5,54
Daniella Monet,Apple,160.0,6,64
Sara Evans,Hourglass,175.0,10,62
Kristin Chenoweth,Hourglass,150.0,5.5,45
Gwen Stefani,Banana,168.0,8,54
Bridgit Mendler,Banana,168.0,7,54
Jordin Sparks,Hourglass,178.0,11,64
Emily Osment,Hourglass,159.0,6.5,57
Jennifer Hudson,Hourglass,,7,66
Rita Ora,Hourglass,166.0,8,55
Madonna,Hourglass,164.0,8,57
Miranda Cosgrove,Banana,168.0,7,53
Kylie Minogue,Banana,157.0,5,46
Paulina Gretzky,Banana,173.0,8,57
Kimberley Walsh,Banana,165.0,,56
Jordan Burridge,Banana,179.0,,57
Jessica Thomas,Banana,174.0,,52
Isabel Simundic,Banana,174.0,,53
Cassandra Hargrave,Banana,179.0,,56
Brittany Beattie,Banana,177.0,,55
Ayieda Malou,Hourglass,179.0,,65
Alexandra Sinadinovic,Banana,172.0,8,56
Ashley Hinshaw,Banana,171.0,8,56
Tiffany Coyne,Banana,173.0,8,56
Rachel Hilbert,Banana,178.0,7,55
Emma Dumont,Banana,174.0,8,53
Anna Diop,Banana,173.0,8.5,61
Mark Zuckerberg,Rectangle,171.0,10,57
Meghan Markle,Inverted Triangle,171.0,,61
Monica Bellucci,Hourglass,171.0,9,64
Harry Styles,Rectangle,180.0,10,74
Drake,Trapezoid,,11,89
Jay Z,Rectangle,188.0,10,82
Elon Musk,Rectangle,188.0,12,82
